  1 2018-03-08 18:28:17.191434 2c:23:3a:3f:42:9f -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:9f -> 01:80:c2:00:00:0e
 42 2018-03-08 18:28:17.277354    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=182/46592, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 43 2018-03-08 18:28:17.277367    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=187/47872, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 44 2018-03-08 18:28:17.277391    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=191/48896, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 45 2018-03-08 18:28:17.277400    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=194/49664, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 46 2018-03-08 18:28:17.277425    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=197/50432, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 47 2018-03-08 18:28:17.277436    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=208/53248, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 48 2018-03-08 18:28:17.277446    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=213/54528, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 49 2018-03-08 18:28:17.277467    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=217/55552, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 50 2018-03-08 18:28:17.277486    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=221/56576, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 51 2018-03-08 18:28:17.277508    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=224/57344, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 52 2018-03-08 18:28:17.277517    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=229/58624, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 53 2018-03-08 18:28:17.277529    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=238/60928, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 54 2018-03-08 18:28:17.277554    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=243/62208, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 55 2018-03-08 18:28:17.277575    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=246/62976, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 56 2018-03-08 18:28:17.277583    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=251/64256, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 57 2018-03-08 18:28:17.277604    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=255/65280, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 58 2018-03-08 18:28:17.277612    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=258/513, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 59 2018-03-08 18:28:17.277636    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=264/2049, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 60 2018-03-08 18:28:17.277644    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=268/3073, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 61 2018-03-08 18:28:17.277668    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=271/3841, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 62 2018-03-08 18:28:17.277677    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=277/5377, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 63 2018-03-08 18:28:17.277697    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=281/6401, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 64 2018-03-08 18:28:17.277718    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=286/7681, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 65 2018-03-08 18:28:17.277726    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=289/8449, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 66 2018-03-08 18:28:17.277750    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=293/9473, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 67 2018-03-08 18:28:17.277758    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=299/11009, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 68 2018-03-08 18:28:17.277778    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=303/12033, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 69 2018-03-08 18:28:17.277787    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=308/13313, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 70 2018-03-08 18:28:17.277807    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=312/14337, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 71 2018-03-08 18:28:17.277829    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=314/14849, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 72 2018-03-08 18:28:17.277837    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=315/15105, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 73 2018-03-08 18:28:17.277859    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=319/16129, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 74 2018-03-08 18:28:17.277867    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=321/16641, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 75 2018-03-08 18:28:17.277893    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=324/17409, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 76 2018-03-08 18:28:17.277901    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=328/18433, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 77 2018-03-08 18:28:17.277924    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=333/19713, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 78 2018-03-08 18:28:17.277932    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=337/20737, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 79 2018-03-08 18:28:17.277954    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=343/22273, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 80 2018-03-08 18:28:17.277962    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=349/23809, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 81 2018-03-08 18:28:17.277986    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=352/24577, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 82 2018-03-08 18:28:17.278005    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=356/25601, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 83 2018-03-08 18:28:17.278013    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=357/25857, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 84 2018-03-08 18:28:17.278024    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=361/26881, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 85 2018-03-08 18:28:17.278048    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=365/27905, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
